id,order_id,timestamp,symbol,side,price,amount,cost,fee_cost,fee_currency,takerOrMaker,realized_pnl,dt
326411150,16792768465,1789257614729,ETHUSDT,BUY,2524.99,0.396,999.89604,0.39995841,USDT,taker,0.0,2026-09-13 00:00:14.729000+00:00
160091432,3500944705,1789257622082,XRPUSDT,BUY,1.3657,732.2,999.96554,0.1999931,USDT,maker,0.0,2026-09-13 00:00:22.082000+00:00
326414478,16792776841,1789258512851,ETHUSDT,BUY,2525.01,0.013,32.82513,0.00656502,USDT,maker,0.0,2026-09-13 00:15:12.851000+00:00
326414479,16792776841,1789258513063,ETHUSDT,BUY,2525.01,0.016,40.40016,0.00808003,USDT,maker,0.0,2026-09-13 00:15:13.063000+00:00
326414480,16792776841,1789258513125,ETHUSDT,BUY,2525.01,0.011,27.77511,0.00555502,USDT,maker,0.0,2026-09-13 00:15:13.125000+00:00
326414481,16792776841,1789258513126,ETHUSDT,BUY,2525.01,0.009,22.72509,0.00454501,USDT,maker,0.0,2026-09-13 00:15:13.126000+00:00
326414482,16792776841,1789258515287,ETHUSDT,BUY,2525.01,0.014,35.35014,0.00707002,USDT,maker,0.0,2026-09-13 00:15:15.287000+00:00
326414483,16792776841,1789258515378,ETHUSDT,BUY,2525.01,0.011,27.77511,0.00555502,USDT,maker,0.0,2026-09-13 00:15:15.378000+00:00
326414484,16792776841,1789258516773,ETHUSDT,BUY,2525.01,0.015,37.87515,0.00757503,USDT,maker,0.0,2026-09-13 00:15:16.773000+00:00
326414485,16792776841,1789258517177,ETHUSDT,BUY,2525.01,0.008,20.20008,0.00404001,USDT,maker,0.0,2026-09-13 00:15:17.177000+00:00
326414486,16792776841,1789258517370,ETHUSDT,BUY,2525.01,0.011,27.77511,0.00555502,USDT,maker,0.0,2026-09-13 00:15:17.370000+00:00
326414487,16792776841,1789258517439,ETHUSDT,BUY,2525.01,0.008,20.20008,0.00404001,USDT,maker,0.0,2026-09-13 00:15:17.439000+00:00
326446950,16792864254,1789268451037,ETHUSDT,SELL,2519.58,0.396,997.75368,0.39910147,USDT,taker,-2.14415437,2026-09-13 03:00:51.037000+00:00
