symbol,incomeType,income,asset,time,datetime_utc,info
SOLUSDT,COMMISSION,-0.00310688,USDT,1789539316000,2026-09-16T06:15:16+00:00,92642116
SOLUSDT,REALIZED_PNL,-0.00291583,USDT,1789540212000,2026-09-16T06:30:12+00:00,92643746
SOLUSDT,COMMISSION,-0.00116712,USDT,1789540212000,2026-09-16T06:30:12+00:00,92643746
SOLUSDT,REALIZED_PNL,-0.18175376,USDT,1789540212000,2026-09-16T06:30:12+00:00,92643747
SOLUSDT,COMMISSION,-0.07275048,USDT,1789540212000,2026-09-16T06:30:12+00:00,92643747
SOLUSDT,REALIZED_PNL,-0.00583167,USDT,1789540212000,2026-09-16T06:30:12+00:00,92643748
SOLUSDT,COMMISSION,-0.00233424,USDT,1789540212000,2026-09-16T06:30:12+00:00,92643748
SOLUSDT,REALIZED_PNL,-0.88649872,USDT,1789540212000,2026-09-16T06:30:12+00:00,92643749
SOLUSDT,COMMISSION,-0.32176916,USDT,1789540212000,2026-09-16T06:30:12+00:00,92643749
SOLUSDT,COMMISSION,-0.0019398,USDT,1789541117000,2026-09-16T06:45:17+00:00,92645404
SOLUSDT,COMMISSION,-0.00116388,USDT,1789541117000,2026-09-16T06:45:17+00:00,92645405
SOLUSDT,COMMISSION,-0.0019398,USDT,1789541119000,2026-09-16T06:45:19+00:00,92645407
SOLUSDT,COMMISSION,-0.00155184,USDT,1789541119000,2026-09-16T06:45:19+00:00,92645408
SOLUSDT,COMMISSION,-0.00116388,USDT,1789541119000,2026-09-16T06:45:19+00:00,92645409
SOLUSDT,COMMISSION,-0.00252174,USDT,1789541119000,2026-09-16T06:45:19+00:00,92645410
SOLUSDT,COMMISSION,-0.1881606,USDT,1789541122000,2026-09-16T06:45:22+00:00,92645411
SOLUSDT,REALIZED_PNL,-3.1713,USDT,1789542008000,2026-09-16T07:00:08+00:00,92647264
SOLUSDT,COMMISSION,-0.3981516,USDT,1789542008000,2026-09-16T07:00:08+00:00,92647264
DOGEUSDT,COMMISSION,-0.39801656,USDT,1789542009000,2026-09-16T07:00:09+00:00,147468349
ETHUSDT,COMMISSION,-0.53002894,USDT,1789542013000,2026-09-16T07:00:13+00:00,327687132
ETHUSDT,REALIZED_PNL,-0.98629,USDT,1789542079000,2026-09-16T07:01:19+00:00,327687497
ETHUSDT,COMMISSION,-0.53042345,USDT,1789542079000,2026-09-16T07:01:19+00:00,327687497
DOGEUSDT,REALIZED_PNL,-1.73698,USDT,1789542212000,2026-09-16T07:03:32+00:00,147469680
DOGEUSDT,COMMISSION,-0.39871135,USDT,1789542212000,2026-09-16T07:03:32+00:00,147469680
DOGEUSDT,COMMISSION,-0.39649443,USDT,1789542910000,2026-09-16T07:15:10+00:00,147474728
ETHUSDT,COMMISSION,-0.1982243,USDT,1789544391000,2026-09-16T07:39:51+00:00,327700031
ETHUSDT,FUNDING_FEE,0.07087215,USDT,1789545600000,2026-09-16T08:00:00+00:00,FUNDING_FEE
DOGEUSDT,FUNDING_FEE,0.09868988,USDT,1789545600000,2026-09-16T08:00:00+00:00,FUNDING_FEE
BTCUSDT,COMMISSION,-0.19701006,USDT,1789545920000,2026-09-16T08:05:20+00:00,538153766
